frame	ecc	ep	mass	particle	signal	size	x	y	z
26	0.137718464696	0.0272058861615	8602.66648997	0.0	194.194568828	355420	555.147939074	512.093430047	26
27	0.174217347472	0.0264901246612	7993.24616867	0.0	183.926672474	355420	555.60298424	512.656845126	27
28	0.153478299268	0.028203475429	7459.6717484	0.0	180.907265092	355420	557.146741442	512.756558221	28
29	0.135621356107	0.0260513634844	8720.16166412	0.0	193.649827491	355420	560.259682876	514.514737657	29
30	0.21466768612	0.0278883219283	8622.98611623	0.0	205.427527072	355420	560.424698385	518.05844506	30
31	0.145308715934	0.0282177010129	7968.82888475	0.0	189.427899702	355420	559.245264884	521.201208879	31
32	0.0369353050816	0.0291546533693	8198.87526139	0.0	197.963957441	355420	562.997369407	525.297753764	32
33	0.0652924068565	0.0267425765915	7852.68410509	0.0	181.228234035	355420	565.214259069	527.254364685	33
34	0.0681906461291	0.0248625936666	7956.34972783	0.0	172.964124518	355420	565.403882915	529.678944076	34
35	0.00804489840255	0.0273923623012	7422.72873817	0.0	173.51601099	355420	567.095271742	530.390850471	35
36	0.0451414235618	0.0241153951194	9600.21658905	0.0	187.617525862	355420	569.849280141	532.139684542	36
37	0.0623818853915	0.0252052770789	8484.06652311	0.0	181.688575448	355420	571.217503461	532.571278113	37
38	0.0304668630732	0.024615011433	9220.80260229	0.0	184.789020711	355420	575.120847514	535.529737578	38
39	0.0534774133305	0.0257302704278	8765.24427951	0.0	190.415869749	355420	577.280402664	538.412930077	39
40	0.0420853979145	0.0258754614879	9206.93102156	0.0	186.100217316	355420	583.017614426	538.698763969	40
41	0.0765258295667	0.0257862199748	8836.42896635	0.0	187.934734174	355420	585.989712131	538.81434164	41
42	0.086921835211	0.0260228308925	9037.68096596	0.0	183.42156942	355420	589.997592248	540.836099215	42
43	0.0174388285558	0.0245161645111	9583.30183036	0.0	189.714169669	355420	592.133499032	542.835123564	43
44	0.0655338216416	0.0251010893858	8089.37874334	0.0	170.030960711	355420	590.897050115	545.915802573	44
45	0.0741452301399	0.0250226568869	8104.99743096	0.0	176.807519386	355420	591.469346932	546.360387034	45
46	0.0423015017173	0.0252492392329	8068.39010507	0.0	173.302444684	355420	592.585571292	547.128382023	46
47	0.0442190514365	0.024947895393	8070.14541363	0.0	165.740368993	355420	596.464128441	546.031896247	47
48	0.0834262525089	0.0264321955924	7492.72860825	0.0	164.763436649	355420	602.511349528	544.162928941	48
49	0.0543157437425	0.0240606130929	7722.23856379	0.0	159.837077062	355420	604.334437841	545.36287489	49
50	0.161934928095	0.0246547718554	7504.36717536	0.0	151.439481737	355420	607.428639531	544.99841765	50
51	0.0410078071784	0.0250932591155	6844.95332128	0.0	145.786791292	355420	604.372854332	549.216386129	51
52	0.0346626392644	0.0251098780409	7554.82407299	0.0	162.735615714	355420	609.219321353	551.457187191	52
53	0.107093765272	0.0238724859551	9544.64428774	0.0	186.994962591	355420	612.667797759	553.313803316	53
54	0.00776791302984	0.0219873822709	10320.2607593	0.0	188.662550442	355420	617.254769175	554.872578661	54
55	0.155228790089	0.0264686533575	8654.71805942	0.0	197.776102899	355420	624.264711451	556.536933535	55
56	0.0683343796246	0.0242313087655	10129.7652129	0.0	195.503846552	355420	627.341073981	559.066059226	56
57	0.0340203703199	0.0222680437961	10371.4701032	0.0	189.792979014	355420	627.224908128	558.361115768	57
58	0.119535891375	0.025730990929	8832.77459092	0.0	181.216245166	355420	632.411939426	559.997930019	58
59	0.0612083017789	0.024795525422	8426.59279623	0.0	170.085940662	355420	638.537021263	563.011795691	59
60	0.0750760098475	0.0282321372675	8217.52995506	0.0	188.118669453	355420	641.516542838	565.147103008	60
